row_id,Game Name,Discount,Price,Rating,Release Date
79,Ys SEVEN,-40%,"R$ 27,59",86.90%,Aug 2017
80,Train Valley 2,-75%,"R$ 7,24",86.38%,Apr 2019
81,METAL SLUG,-80%,"R$ 3,19",86.17%,Jun 2015
82,Tavern Talk,-20%,"R$ 43,99",86.09%,Jun 2024
83,No Straight Roads: Encore Edition,-75%,"R$ 11,87",85.96%,Oct 2021
84,Lucky Tower Ultimate,-10%,"R$ 26,99",85.41%,Sep 2024
85,Nitroplus Blasterz: Heroines Infinite Duel,-75%,"R$ 9,49",85.35%,Dec 2016
86,METAL SLUG X,-80%,"R$ 3,19",85.06%,Oct 2014
87,Ys VI: The Ark of Napishtim,-75%,"R$ 9,24",85.01%,Apr 2015
88,Enshrouded,-20%,"R$ 71,99",84.56%,Jan 2024
89,REVEIL,-35%,"R$ 38,99",84.45%,Mar 2024
90,Portal Dungeon,-35%,"R$ 30,54",83.45%,Jul 2023
91,Monster Hunter Stories,-20%,"R$ 103,20",83.41%,Jun 2024
92,METAL SLUG 2,-80%,"R$ 2,79",83.24%,Apr 2016
93,Aquarium Designer,-45%,"R$ 11,37",82.55%,Oct 2021
94,Cyberpunk 2077,-50%,"R$ 99,95",82.48%,Dec 2020
95,Thymesia,-60%,"R$ 29,96",82.23%,Aug 2022
96,Six Days in Fallujah,-25%,"R$ 80,99",82.15%,Jun 2023
97,Into The Flames,-70%,"R$ 11,39",81.41%,Jan 2023
98,A Perfect Day,-41%,"R$ 35,39",81.25%,Feb 2022
99,Teenage Mutant Ninja Turtles: Splintered Fate,-10%,"R$ 58,49",79.14%,Nov 2024
100,The Lord of the Rings: Return to Moria™,-33%,"R$ 49,57",79.04%,Aug 2024
101,Mirthwood,-10%,"R$ 66,59",72.92%,Nov 2024
102,Sengoku Dynasty,-20%,"R$ 71,19",71.90%,Nov 2024
103,Deep Rock Galactic,-67%,"R$ 19,13",96.14%,May 2020
104,Firework,-50%,"R$ 10,34",95.95%,Feb 2021
105,Resident Evil 2,-75%,"R$ 34,97",95.69%,Jan 2019
106,Phoenix Wright: Ace Attorney Trilogy,-67%,"R$ 23,09",95.58%,Apr 2019
